Region,Council,Swim site,Date,Time,Enterococci (cfu/100mL),Water temperature (°C),Conductivity (µS/cm),Latitude,Longitude
Sydney City,Randwick City Council,Malabar Beach,24/11/2023,09:41:00,51,21,52000,-33.964360000,151.252247000
Sydney City,Randwick City Council,South Maroubra Beach,24/11/2023,09:23:00,50,21,53600,-33.951378000,151.257322000
Sydney City,Randwick City Council,Coogee Beach,24/11/2023,08:51:00,1600,20,51500,-33.920760000,151.258170000
Sydney City,Randwick City Council,Clovelly Beach,24/11/2023,08:24:00,86,20,52800,-33.914578000,151.267659000
Sydney City,Waverley Council,Tamarama Beach,24/11/2023,07:55:00,1600,20,51100,-33.900805000,151.270734000
Sydney City,Randwick City Council,Gordons Bay (East),24/11/2023,08:31:00,70,20,52700,-33.915646000,151.264558000
Sydney City,Randwick City Council,Maroubra Beach,24/11/2023,09:09:00,76,21,53000,-33.948896000,151.257459000
Sydney City,Waverley Council,Bronte Beach,24/11/2023,08:13:00,380,20,53900,-33.903087000,151.268790000
Sydney City,Waverley Council,Bronte Beach,20/11/2023,08:31:00,14,19,54300,-33.903087000,151.268790000
Sydney City,Randwick City Council,Maroubra Beach,20/11/2023,09:35:00,8,20,53700,-33.948896000,151.257459000
Sydney City,Waverley Council,Tamarama Beach,20/11/2023,08:15:00,18,20,53000,-33.900805000,151.270734000
Sydney City,Randwick City Council,Gordons Bay (East),20/11/2023,08:55:00,0,20,53300,-33.915646000,151.264558000
Sydney City,Randwick City Council,Clovelly Beach,20/11/2023,08:46:00,15,20,53000,-33.914578000,151.267659000
Sydney City,Randwick City Council,Coogee Beach,20/11/2023,09:12:00,13,20,54700,-33.920760000,151.258170000
Sydney City,Randwick City Council,South Maroubra Beach,20/11/2023,09:56:00,12,20,53600,-33.951378000,151.257322000
Sydney City,Randwick City Council,Malabar Beach,20/11/2023,10:15:00,30,21,53700,-33.964360000,151.252247000
Sydney City,Randwick City Council,South Maroubra Rockpool,20/11/2023,09:54:00,7,20,53600,-33.953515000,151.258009000
Sydney City,Randwick City Council,Little Bay Beach,20/11/2023,10:30:00,13,20,54800,-33.979882000,151.251417000
